,County,WaterstatsID,UtilityType,UtilityName,AWWAGroup,Category,Region,AWWA_City,State_Name,State,Zip,Country,FIPS,City,PopDens,MedianIncome,Ground,Surface,Purchases,PrimarySource,SplitPercent,ResidentialRateStr,RateStruct,Seasonal,ResCharges1000cfService,ResCharges1000cfVolume,ResCharges1000cfTotal,ResCharges1500cfService,ResCharges1500cfVolume,ResCharges1500cfTotal,FixedChargeRatio,WWCharges1000cfService,WWCharges1000cfVolume,WWCharges1000cfTotal,WWCharges1500cfService,WWCharges1500cfVolume,WWCharges1500cfTotal,CombResCharges1000cfService,CombResCharges1000cfVolume,CombResCharges1000cfTotal,CombResCharges1500cfService,CombResCharges1500cfVolume,CombResCharges1500cfTotal,MGDailyWaterTreatmntProdCapacity,MGDAverageDayWaterProduction,MGDMaxDayWaterProduction,AvgPlantUtilization,MaxPlantUtilization,AnnualMGallonsSoldResNonres,AnnualMGallonsSoldWholesale,AnnualMGallonsSoldTotal,SvcPopRetail,SvcPopWholesale,SvcPopTotal,X.x,ScvPop,DailyPerCapitaConsumptionGallons,ActiveAccountResidential,ActiveAccountNonRes,AccountRatio_NonRes,ActiveAccountWholesale,ActiveAccountTotal,BSFullTimeEmployees,MGYWWTotalGallonsTreated,WaterPerEmployee,BSTotalAssets,BSLongtermDebt,DebtRatio,BSTotalAssetsComb,BSLongTermDebtComb,DebtRatioComb,ISOperatingRevenues,ISBeforeDepreciation,IncomeStatement_Depreciation_Expense,OpExpRev,ISInterestExpense,ISNetIncome,DebtPerMG,OpExpPerMG,NonOperatingRevenue,NonOperatingIncome,ISOperatingRevenuesComb,ISBeforeDepreciationComb,OpExpRevComb,ISInterestExpenseComb,ISNetIncomeComb,AverageCapitalNeeds,IncomeStatement_W_C_WW,WaterIS_Period,WastewaterIS_Period,UtilityType.1,WaterOnly,TempAve,TempVar,PrecipAnnual,PrecipSeasonal,MaxCumDef,NDI,X.y,mean,depth
168,Los Angeles,4465,1,"Azusa, City of Light & Water",C,U,West,Azusa,California,CA,91702-9500,USA,6037,Azusa,2446.5,51254,70,30,0,2,,IB,2,0,17.03,10.07,27.1,17.03,17.94,34.97,0.95,0,0,0,0,0,0,17.03,10.07,27.1,17.03,17.94,34.97,26,18.58,24,71.46%,92.31%,6240,0,6240,105000,0,105000,1,105000,162.8180039,19848,3090,0.155683192,0,22938,35,0,178.2857143,"132,489,006.00","73,662,819.00",0.56,"132,489,006.00","73,662,819.00",0.56,15238209,"11,945,339.00",1761398,0.78,"3,645,360.00","-288,407.00","11,804.94","1,914.32",0,0,"15,238,209.00","11,945,339.00",0.78,"3,645,360.00",-288407,"3,500,000.00",Water only,FY09,N / R,1,1,14.11,6.82,372.35,47.41,343.5563389,464.5797247,886,3175.926923,2010.098031
169,Los Angeles,1315,1,Los Angeles Department of Water and Power,A,U,West,Los Angeles (LADWP),California,CA,90012,USA,6037,Los Angeles,2446.5,47979,11,36,53,3,,IB,2,1,,,35.77,,,$53.65 ,#DIV/0!,0,0,0,0,0,0,0,0,35.77,0,0,53.65,600,335,475,55.83%,79.17%,163635,0,163635,4100000,0,4100000,0,4100000,109.3451387,597552,80695,0.135042641,0,678247,1849,0,88.49918875,"4,836,000,000.00","2,193,000,000.00",0.45,"4,836,000,000.00","2,193,000,000.00",0.45,7.84E+08,"582,000,000.00",83000000,0.74,"92,000,000.00","66,000,000.00","13,401.78","3,556.70",0,0,"784,000,000.00","582,000,000.00",0.74,"92,000,000.00",6.60E+07,"565,840,000.00",Water only,FY09,N / R,1,1,14.11,6.82,372.35,47.41,343.5563389,464.5797247,886,3175.926923,2010.098031
170,Los Angeles,4497,1,Palmdale Water District,C,U,West,Palmdale,California,CA,93550,USA,6037,Palmdale,2446.5,61390,34.86,0.29,64.85,4,,IB,2,0,29.6,7.3,36.9,29.6,22.06,51.66,1.34,0,0,0,0,0,0,29.6,7.3,36.9,29.6,22.06,51.66,28,22.8,30.9,81.43%,110.36%,6727.2,0,6727.2,115000,0,115000,1,115000,160.2668255,24181,1611,0.066622555,0,25792,88,0,76.44545455,"182,624,530.00","50,920,692.00",0.28,"182,624,530.00","50,920,692.00",0.28,21024619,"19,319,632.00",5971865,0.92,"2,594,491.00","-1,771,301.00","7,569.37","2,871.87",1,0,"21,024,619.00","19,319,632.00",0.92,"2,594,491.00",-1771301,"9,823,300.00",Water only,CY09,N / R,1,1,14.11,6.82,372.35,47.41,343.5563389,464.5797247,886,3175.926923,2010.098031
171,Los Angeles,1291,1,Glendale Water & Power,B,U,West,Glendale,California,CA,91780,USA,6037,Glendale,2446.5,54673,30.4,0,69.6,4,,IDB,4,0,13.61,21.1,34.71,13.61,34.51,48.12,0.39,0,0,0,0,0,0,13.61,21.1,34.71,13.61,34.51,48.12,24,26.77,44,111.54%,183.33%,9601.23,0,8303.75,207303,0,207303,1,207303,109.7427437,29292,4115,0.140482043,0,33509,76,0,109.2598684,"158,188,000.00","51,722,000.00",0.33,"158,188,000.00","51,722,000.00",0.33,35716000,"32,353,000.00",3093000,0.91,"1,474,000.00","1,594,000.00","6,228.75","3,896.19",0,1,"35,716,000.00","32,353,000.00",0.91,"1,474,000.00",1594000,"11,507,000.00",Water only,FY09,N / R,1,1,14.11,6.82,372.35,47.41,343.5563389,464.5797247,886,3175.926923,2010.098031
172,Los Angeles,1606,1,Walnut Valley Water District,C,U,West,Walnut,California,CA,91711,USA,6037,Walnut,2446.5,105952,4,0,96,4,,IB,2,0,16.03,17.5,33.53,16.03,27.57,43.6,0.58,0,0,0,0,0,0,16.03,17.5,33.53,16.03,27.57,43.6,0,0,0,0.00%,0.00%,6393.8,105,6498.8,100000,0,1.00E+05,1,1.00E+05,178.0493151,24147,2393,0.099101338,1,26541,55.59999847,0,116.8848953,"164,552,380.00","11,430,138.00",0.07,"164,552,380.00","11,430,138.00",0.07,23676346,"26,060,623.00",3966765,1.1,"630,723.00","-3,480,336.00","1,758.81","4,010.07",0,1,"23,676,346.00","26,060,623.00",1.1,"630,723.00",-3480336,"3,000,000.00",Water only,FY09,N / R,1,1,14.11,6.82,372.35,47.41,343.5563389,464.5797247,886,3175.926923,2010.098031
173,Loudoun,1763,2,Loudoun Water,B,U,South,Ashburn,Virginia,VA,20147,USA,51107,Ashburn,493.6,105472,0,0,100,4,,U,1,1,6.32,12.74,19.06,6.32,20.02,26.34,0.32,5.54,20.02,25.56,5.54,31.46,37,11.86,32.76,44.62,11.86,51.48,63.34,0,0,0,0.00%,0.00%,6400,0,8504.5,186000,0,186000,1,0,125.2688172,56606,2027,0.035808925,1,58634,194.7200012,0,43.67553383,"1,334,791,216.00","250,347,259.00",0.19,"1,334,791,216.00","250,347,259.00",0.19,45313869,"37,161,139.00",29077219,0.82,0,"24,019,380.00","29,437.03","4,369.59",0,1,"45,313,869.00","37,161,139.00",0.82,0,24019380,#DIV/0!,Combined water and wastewater,CY09,N / R,2,0,12.65,11.76,"1,044.08",1.4,0.018593849,896.5974466,888,1387.967742,906.0356626
174,Lucas,1416,2,"Toledo Water Division, City of",B,U,Midwest,Toledo,Ohio,OH,43604,USA,39095,Toledo,1316.8,42564,0,100,0,1,2,DB,3,0,0,11.22,11.22,0,16.83,16.83,0,15.44,31.7,47.14,15.44,47.55,62.99,15.44,42.92,58.36,15.44,64.38,79.82,150,76.6,114.0989,51.07%,76.07%,15165.5,4161.2,19326.7,400000,50000,450000,1,450000,117.6663623,119468,13886,0.116231962,7,133361,241,26063.8,80.19377593,"261,355,204.79","90,394,608.74",0.35,"763,865,175.79","330,327,290.74",0.43,35815830.64,"26,733,184.50",5438188,0.75,"4,270,766.75","-153,253.46","4,677.19","1,383.23",1,1,"89,909,199.59","57,344,371.71",0.64,"14,902,593.83",4166651.61,"16,919,646.80",Water only,CY09,CY09,2,1,8.74,11.22,774.03,1.6,10.87991705,116.0704561,893,1085.054795,890.6637338
175,Macon,1086,1,"Decatur, City of",C,U,Midwest,Decatur,Illinois,IL,62523,USA,17115,Decatur,191.6,43303,0,100,0,1,2,DB,3,0,1.46,18.1,19.56,1.46,27.15,28.61,0.05,0,0,0,0,0,0,1.46,18.1,19.56,1.46,27.15,28.61,36,20,24.4,55.56%,67.78%,5741.98,131.01,5872.99,74346,7654,82000,1,82000,196.2241898,28438,3024,0.106336592,3,31465,45,0,130.5108889,0,0,#DIV/0!,0,0,#DIV/0!,11419200,"15,881,478.00",3511484,1.39,0,"-6,653,270.00",0,"2,704.16",0,1,"11,419,200.00","15,881,478.00",1.39,0,-6653270,"4,090,658.20",Water only,FY09,N / R,1,1,11.63,12.82,977.96,1.85,1.496490883,18.65158788,905,1077.192308,670.4887898
176,Madison,6847,1,City of Norfolk,C,U,Midwest,Norfolk,Nebraska,NE,68701,USA,31119,Norfolk,62,45262,100,0,0,2,2,NA,NA,0,11.4,5.16,16.56,11.4,11.61,23.01,0.98,0,0,0,0,0,0,11.4,5.16,16.56,11.4,11.61,23.01,14.5,4.75,9.785,32.76%,67.48%,1308.483,0,1308.483,24000,0,24000,1,24000,149.3702055,8200,1300,0.158536585,0,9500,14,0,93.46307143,"202,058.00",0,0,"202,058.00",0,0,9322207,"7,799,000.00",0,0.84,0,"1,584,724.00",0,"5,960.34",1,0,"9,322,207.00","7,799,000.00",0.84,0,1584724,#DIV/0!,Water only,FY09,N / R,1,1,9.15,14.6,675.05,6.07,7.770539964,3.544568396,908,1410.882806,1055.128575
177,Madison,1483,2,"Jackson Energy Authority, Water Division",C,U,South,Jackson,Tennessee,TN,38301,USA,47113,Jackson,174.6,43411,100,0,0,2,,DB,3,0,9.42,18.38,27.8,9.42,28.98,38.4,0.33,3.23,30.2,33.43,3.23,45.3,48.53,12.65,48.58,61.23,12.65,74.28,86.93,27.9,13.1,18.9,46.95%,67.74%,2268.2151,47.25,2315.4651,97453,0,97453,0,97453,65.09537931,31717,3680,0.116026106,2,35399,93,4883.8,24.89747419,"97,772,889.00","34,134,466.00",0.35,"204,224,292.00","72,694,398.00",0.36,12480000,"8,484,000.00",2502000,0.68,"2,367,000.00","341,000.00","14,741.95","3,664.06",0,1,"25,545,012.00","16,870,207.00",0.66,"4,893,379.00",646530,"5,772,000.00",Water only,FY09,FY09,2,1,15.32,11.08,"1,342.65",1.54,0.06491493,2.500438432,908,1410.882806,1055.128575
178,Manatee,6702,2,City of Bradenton,C,U,South,Bradenton,Florida,FL,34205,USA,12081,Bradenton,399.2,45645,0,97,3,1,1,IB,2,0,10.25,19.83,30.08,10.25,31.5,41.75,0.33,16.26,21.59,37.85,16.26,35.42,51.68,26.51,41.42,67.93,26.51,66.92,93.43,0,4.905,0,0.00%,0.00%,1790.477,0,1790.477,54051,0,54051,1,0,90.75533179,12617,1954,0.154870413,1,14572,36,1790.158,49.73547222,"73,696,806.00","11,780,360.00",0.16,"73,696,806.00","17,495,590.00",0.24,18684199,"14,349,381.00",4771714,0.77,0,"-94,558.00","6,579.45","8,014.28",1,0,"18,684,199.00","28,698,762.00",1.54,0,-264116,"400,000.00",Combined water and wastewater,FY09,FY09,2,0,19.59,4.58,"1,331.23",3.76,0.044761558,1.31212635,916,628.5,626.1155025
179,Manitowoc,2779,1,Manitowoc Public Utilities,C,U,Midwest,Manitowoc,Wisconsin,WI,54220,USA,55071,Manitowoc,140.4,49962,1,99,0,1,2,DB,3,0,6.45,13.1,19.55,6.45,19.65,26.1,0.33,0,0,0,0,0,0,6.45,13.1,19.55,6.45,19.65,26.1,45,12,18,26.67%,40.00%,1957,2684,4641,35000,75000,110000,1,110000,115.5915318,12300,1600,0.130081301,1,13901,12,0,386.75,"61,487,082.00","4,011,668.00",0.07,"61,487,082.00","4,011,668.00",0.07,6520796,"4,254,522.00",722842,0.65,0,"796,274.00",864.4,916.73,1,0,"6,520,796.00","4,254,522.00",0.65,0,796274,"1,053,200.00",Water only,FY09,N / R,1,1,6.36,11.99,741.29,2.45,0.158120094,3.609097657,918,1472.155556,690.3063231
180,Maricopa,1227,2,Phoenix Water Services Department,A,U,West,Phoenix,Arizona,AZ,85254,USA,4013,Phoenix,390.5,53891,2.5,0,97.5,4,,IB,2,1,-,-,13.65,-,-,$27.40 ,#VALUE!,1.22,22.15,23.37,1.22,33.2,34.42,#VALUE!,#VALUE!,37.02,#VALUE!,#VALUE!,61.82,660,271.8,389.21,41.18%,58.97%,92560,1218,93778,1666555,0,1666555,0,1666555,154.1659456,368867,34059,0.092334093,2,402928,1046,62693,89.65391969,"2,947,419,000.00","1,534,580,000.00",0.52,"4,674,261,000.00","2,389,333,000.00",0.51,294693000,"184,799,000.00",85563000,0.63,"50,409,000.00","-11,117,000.00","16,363.97","1,970.60",1,1,"471,671,000.00","266,747,000.00",0.57,"99,356,000.00",3836000,"190,057,485.20",Water only,FY09,FY09,2,1,20.49,11.3,247.31,5.83,26.19649374,3.959688385,921,2853.883702,1735.292401
181,Maricopa,4721,2,City of Peoria,B,U,West,Peoria,Arizona,AZ,85051,USA,4013,Peoria,390.5,68266,32,68,0,1,,IB,2,0,14.16,12.63,26.79,14.16,23.36,37.52,0.61,3.11,18.48,21.59,3.11,27.27,30.38,17.27,31.11,48.38,17.27,50.63,67.9,50,23.93,34.84,47.86%,69.68%,8674.5,0,8674.5,152000,0,152000,1,152000,156.353641,44378,2530,0.05701023,0,46908,60.75,3873,142.7901235,"289,321,933.00","44,244,059.00",0.15,"605,513,735.00","132,369,288.00",0.22,29933405,"24,760,599.00",5885108,0.83,"1,925,762.00","-1,485,466.00","5,100.47","2,854.41",1,1,"45,260,674.00","37,421,881.00",0.83,"4,969,047.00",-8804693,"17,399,740.40",Water only,FY09,FY09,2,1,20.49,11.3,247.31,5.83,26.19649374,3.959688385,921,2853.883702,1735.292401
182,Maricopa,1221,2,"Glendale, City of",B,U,West,Glendale,Arizona,AZ,85301,USA,4013,Glendale,390.5,58871,3.38,89.27,7.35,1,,IB,2,1,9.1,14.44,23.54,9.1,23.05,32.15,0.39,8.4,23.48,31.88,8.4,35.23,43.63,17.5,37.92,55.42,17.5,58.28,75.78,90.5,47.295,72.858,52.26%,80.51%,13542.279,7.721,13550,250146,0,250146,1,0,148.4064813,53484,5564,0.104031112,1,59049,124,6509,109.2741935,"702,973,000.00","299,581,000.00",0.43,"702,973,000.00","299,581,000.00",0.43,64159000,"30,890,000.00",19152000,0.48,"13,068,000.00","-5,173,000.00","22,109.30","2,279.70",1,1,"64,159,000.00","61,780,000.00",0.96,"26,136,000.00",-9858000,"26,760,000.00",Combined water and wastewater,FY09,FY09,2,0,20.49,11.3,247.31,5.83,26.19649374,3.959688385,921,2853.883702,1735.292401
183,Maricopa,1233,2,"Scottsdale, City of",B,U,West,Scottsdale,Arizona,AZ,85258,USA,4013,Scottsdale,390.5,75178,22,0,78,4,,IB,2,0,11.66,13.96,25.62,11.66,26.92,38.58,0.43,1.09,20.05,21.14,1.09,29.97,31.06,12.75,34.01,46.76,12.75,56.89,69.64,137,69.4,100.7,50.66%,73.50%,25331,0,25331,242337,0,242337,1,0,286.3780603,81410,5939,0.072951726,0,87349,176,7208.97,143.9261364,"1,603,400,170.00","303,901,316.00",0.19,"1,603,400,170.00","303,901,316.00",0.19,125744132,"71,234,839.00",34253798,0.57,"9,411,366.00","27,908,596.00","11,997.21","2,812.16",1,0,"125,744,132.00","142,469,678.00",1.13,"18,822,732.00",55817192,"29,781,684.40",Combined water and wastewater,FY09,FY09,2,0,20.49,11.3,247.31,5.83,26.19649374,3.959688385,921,2853.883702,1735.292401
184,Marion,2432,2,City of Ocala Water & Sewer,C,U,South,Ocala,Florida,FL,34470,USA,12083,Ocala,181.6,40395,100,0,0,2,2,U,1,0,9.2,7.2,16.4,9.2,11.2,20.4,0.82,22.32,21.8,44.12,22.32,28.34,50.66,31.52,29,60.52,31.52,39.54,71.06,24.4,10.4,14.25,42.62%,58.40%,3796,0,3796,50000,4599,54599,1,0,190.4796791,20500,4500,0.219512195,2,25002,0,1866.6,#DIV/0!,"281,148,190.00","104,898,109.00",0.37,"281,148,190.00","104,898,109.00",0.37,26352644,"13,015,589.00",8052971,0.49,"4,609,101.00","6,290,413.00","27,633.85","3,428.76",0,0,"26,352,644.00","26,031,178.00",0.99,"9,218,202.00",12580826,"3,900,000.00",Combined water and wastewater,FY09,FY09,2,0,21.39,6.18,"1,332.49",3.02,0.026733573,0.705020713,924,1922.526316,1368.894214
185,Marshall,4273,4,Marshalltown Water Pollution Control Plant,X,U,Midwest,Marshalltown,Iowa,IA,50158,USA,19127,Marshalltown,68.2,46673,0,0,0,4,,NA,4,0,0,0,0,0,0,0,#DIV/0!,10.27,17.6,27.87,10.27,26.4,36.67,10.27,17.6,27.87,10.27,26.4,36.67,0,0,0,0.00%,0.00%,0,0,0,0,0,0,1,0,#DIV/0!,0,0,#DIV/0!,0,0,0,2538.725,#DIV/0!,0,0,#DIV/0!,"30,769,517.00","4,435,000.00",0.14,0,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0,"4,868,033.00","2,828,873.00",0.58,"771,155.00",650739,#DIV/0!,,N / R,FY09,4,0,8.72,14.33,867.15,4.35,0.878026341,4.254593999,928,1803.047227,1462.789546
186,Marshall,2697,1,Arab Water Works Board,C,U,South,Arab,Alabama,AL,35016,USA,1095,Arab,135.5,48017,14,86,0,1,,DB,3,0,11.98,20.6,32.58,11.98,34.67,46.65,0.35,0,0,0,0,0,0,11.98,20.6,32.58,11.98,34.67,46.65,8,3.94,6.54,49.25%,81.75%,763.9082,237.1118,1001.02,30335,6715,37050,1,37050,74.02214704,11235,580,0.051624388,2,11817,20,0,50.051,"23,384,768.00","12,775,000.00",0.55,"23,384,768.00","12,775,000.00",0.55,3784380,"2,479,540.00",1038770,0.66,0,"-359,340.00","12,761.98","2,477.01",1,0,"3,784,380.00","2,479,540.00",0.66,0,-359340,"1,661,066.00",Water only,FY09,N / R,1,1,15.59,10.14,"1,393.78",1.51,0.009890545,6.056281852,928,1803.047227,1462.789546
187,McCracken,2638,1,Paducah Water Works,C,U,South,Paducah,Kentucky,KY,42002,USA,21145,Paducah,242.4,34182,93,7,0,2,1,DB,3,0,2,25.94,27.94,2,37.55,39.55,0.05,0,0,0,0,0,0,2,25.94,27.94,2,37.55,39.55,20,6.8,12.1,34.00%,60.50%,1962,296,2258,56255,10000,66255,1,66255,93.37108701,20643,2666,0.129147895,2,23311,46,0,49.08695652,"44,900,550.00","3,603,635.00",0.08,"44,900,550.00","3,603,635.00",0.08,7836232,"5,550,155.00",1376715,0.71,"11,928.00","914,898.00","1,595.94","2,458.00",0,0,"7,836,232.00","5,550,155.00",0.71,"11,928.00",914898,"2,212,600.00",Water only,Other,N / R,1,1,14.3,11.74,"1,244.42",1.4,0.086753392,2.132748613,940,1614.183333,818.6300093
188,McKinley,4129,2,City of Gallup Joint Utility,C,U,West,Gallup,New Mexico,NM,87305,USA,35031,Gallup,13.9,45601,0,0,0,4,,U,1,0,8.48,28.98,37.46,8.48,73.12,81.6,0.12,3.32,23.43,26.75,3.32,35.14,38.46,11.8,52.41,64.21,11.8,108.26,120.06,0,0,0,0.00%,0.00%,0,0,0,60000,0,60000,1,60000,0,5165,1175,0.22749274,0,6340,30,0,0,"30,738,619.00",0,0,"59,429,206.00",0,0,5185055,"2,349,615.00",1042820,0.45,"484,873.00","1,412,440.00",#DIV/0!,#DIV/0!,0,1,"8,301,392.00","3,339,229.00",0.4,"484,873.00",2081360,#DIV/0!,Water only,FY09,FY09,2,1,9.02,12.01,298.31,2.99,0.007393302,0.553049612,950,1830.133333,1337.013669
189,Mecklenburg,1240,2,Charlotte-Mecklenburg Utilities,A,U,South,Charlotte,North Carolina,NC,28216,USA,37119,Charlotte,1490,61434,0,100,0,1,2,IB,2,0,1.8,17.74,19.54,1.8,39.08,40.88,0.05,1.8,40,41.8,1.8,60,61.8,3.6,57.74,61.34,3.6,99.08,102.68,242,98.934,145,40.88%,59.92%,29411.18,399.37,30875.35,776000,208827,984827,0,0,85.89325841,208978,33746,0.161481113,2,245854,716,29675.23,43.12199721,"3,133,985,000.00","1,533,124,000.00",0.49,"3,133,985,000.00","3,064,501,000.00",0.98,234899000,"101,583,000.00",80585000,0.43,"71,038,000.00","-16,868,000.00","49,655.28","3,290.10",0,0,"234,899,000.00","203,166,000.00",0.86,"142,076,000.00",-33736000,"112,347,000.00",Combined water and wastewater,FY09,FY09,2,0,15.79,10.35,"1,138.44",1.35,0.488540797,15.2271827,958,885.0258065,342.6909355
190,Mercer,20062,4,Trenton Sewer Utility,X,U,Northeast,Trenton,New Jersey,NJ,8609,USA,34021,Trenton,1596.8,40639,0,0,0,NA,,NA,NA,0,0,0,0,0,0,0,#DIV/0!,20,31.5,51.5,20,47.25,67.25,,,51.5,20,47.25,67.25,0,0,0,0.00%,0.00%,0,0,0,0,0,0,1,0,#DIV/0!,0,0,#DIV/0!,0,0,0,4380,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0,"15,000,000.00","12,000,000.00",0.8,0,3.00E+06,#DIV/0!,,N / R,FY09,4,0,11.6,12.17,"1,170.85",1.32,2.348982176,1.544211719,969,1510.589581,1024.468986
191,Miami,1029,2,Miami-Dade Water and Sewer Department,A,U,South,Miami-Dade,Florida,FL,33146,USA,12086,Miami-Dade,1227.5,30711,99.7,0,0.3,2,2,IB,2,0,3.2,12.08,15.28,3.2,25.24,28.44,0.13,3.25,21.92,25.17,3.25,46.98,50.23,6.45,34,40.45,6.45,72.22,78.67,452.1,312.5,339.4,69.12%,75.07%,66086,20174,86260,1796114,451859,2247973,0,2247973,105.1297178,386871,31112,0.080419571,14,417997,1194,109320,72.24455611,"1,667,508,940.00","367,207,167.00",0.22,"3,962,168,744.00","1,495,203,983.00",0.38,225711281,"157,204,992.00",59027934,0.7,"16,873,257.00","20,367,907.00","4,256.98","1,822.46",0,1,"478,736,483.00","328,929,051.00",0.69,"70,745,651.00",-19111928,"236,438,800.00",Water only,FY09,FY09,2,1,20.51,3.5,"1,390.13",4.53,0,0,975,843.2404372,349.0642233
192,Milwaukee,20106,1,Milwaukee Water Works,A,U,Midwest,Milwaukee,Wisconsin,WI,53202,USA,55079,Milwaukee,3828.6,42132,0,100,0,1,2,DB,3,0,5.39,13.4,18.79,5.39,20.1,25.49,0.27,0,0,0,0,0,0,5.39,13.4,18.79,5.39,20.1,25.49,360,109,150,30.28%,41.67%,25757.218,7583.291,33215,661394,206115,867509,0,867509,104.8980472,143817,18855,0.131104111,10,162682,322,0,103.1521739,"431,370,415.00","25,038,011.00",0.06,"431,370,415.00","25,038,011.00",0.06,65306611,"59,604,593.00",10563956,0.91,"1,039,361.00","-59,374.00",753.82,"1,794.51",1,1,"65,306,611.00","59,604,593.00",0.91,"1,039,361.00",-59374,"28,493,000.00",Water only,CY09,N / R,1,1,6.34,10.19,762.83,2.4,30.41372154,36.91889736,983,1688.295775,791.8524899
193,Minnehaha,1480,2,"Sioux Falls, City of",C,U,Midwest,Sioux Falls,South Dakota,SD,57104,USA,46099,Sioux Falls,199.9,53909,0,0,0,4,,IB,2,0,2.23,26.14,28.37,2.23,39.84,42.07,0.06,2.61,24.6,27.21,2.61,36.9,39.51,4.84,50.74,55.58,4.84,76.74,81.58,0,0,0,0.00%,0.00%,6748,0,6748,155000,30000,185000,1,0,99.93335802,43753,4067,0.092953626,3,47823,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,N / R,N / R,2,0,7.33,15.44,638.02,5.57,11.3793545,3.953999243,988,1435.680412,1347.344164
194,Mobile,1207,2,Mobile Area Water & Sewer,B,U,South,Mobile,Alabama,AL,36652-2368,USA,1097,Mobile,322.9,41124,0,100,0,1,2,DB,3,0,7.9,11.75,19.65,7.9,20.58,28.48,0.38,15.8,27.49,43.29,15.8,48.13,63.93,23.7,39.24,62.94,23.7,68.71,92.41,90,38.31,59.35,42.57%,65.94%,12723.82,1275.95,13999.77,232000,15000,247000,1,0,155.2855638,85395,0,0,2,85397,177,12074.2,79.09474576,"573,127,162.00","248,436,493.00",0.43,"573,127,162.00","248,436,493.00",0.43,82162755,"50,329,692.00",18839480,0.61,"11,041,942.00","3,080,653.00","17,745.76","3,595.04",1,1,"82,162,755.00","100,659,384.00",1.23,"22,083,884.00",6161306,"1,873,833.60",Combined water and wastewater,CY09,CY09,2,0,17.6,7.37,"1,569.84",1.61,0.030944579,1.849096525,992,500.7777778,247.9589639
195,Mono,4532,2,Mammoth Community Water District,C,U,West,Mammoth Lakes,California,CA,93546,USA,6051,Mammoth Lakes,4.1,58289,48,52,0,3,,IB,2,0,11.46,9.1,20.56,11.46,19.3,30.76,0.59,0,19.98,19.98,0,19.98,19.98,11.46,29.08,40.54,11.46,39.28,50.74,11.8,2.2,4.1,18.64%,34.75%,0.718621,0,0.718621,8214,0,8214,0,0,0.239691339,3388,200,0.059031877,0,3588,44,497.79,0.016332295,"86,580,847.00","5,413,619.00",0.06,"86,580,847.00","5,413,619.00",0.06,5949528,"6,040,761.00",4008447,1.02,"300,744.00","-3,892,882.00","7,533,343.72","8,406,045.75",1,0,"5,949,528.00","12,081,522.00",2.03,"601,488.00",-7785764,"3,811,784.80",Combined water and wastewater,FY09,FY09,2,0,5.27,11.04,470.11,5.5,0.001320378,520.3535553,999,1253.60274,912.6781522
196,Monongalia,2009,2,Morgantown Utility Board,C,U,South,Morgantown,West Virginia,WV,26507-0852,USA,54061,Morgantown,229,27005,0,100,0,1,2,DB,3,0,4.68,8.6,13.28,4.68,15.48,20.16,0.3,7.5,15.95,23.45,7.5,28.71,36.21,12.18,24.55,36.73,12.18,44.19,56.37,14,9.95,12.74,71.07%,91.00%,2279,920,3199,75000,0,75000,0,75000,116.8584475,21465,1852,0.086279991,16,23333,70,4010,45.7,"125,655,365.00","26,950,414.00",0.21,"125,655,365.00","26,950,414.00",0.21,5467319,"5,483,592.00",1348261,1,"77,380.00","-1,011,426.00","8,424.64","1,714.16",1,0,"12,939,614.00","10,442,091.00",0.81,"303,167.00",-761354,"26,000,000.00",Water only,FY09,FY09,2,1,10.74,11.33,"1,128.89",1.42,0.004278367,271.1219777,1001,1241.308333,1011.120859
197,Monroe,1386,1,Monroe County Water Authority,B,U,Northeast,Monroe County,New York,NY,14610,USA,36055,Monroe,1122.5,58709,0.12,72.34,27.54,1,,U,1,0,3.6,18.43,22.03,3.6,27.89,31.49,0.13,0,0,0,0,0,0,3.6,18.43,22.03,3.6,27.89,31.49,140,49,73,35.00%,52.14%,15327,1737,17064,650000,0,650000,0,650000,71.92413066,171000,478,0.002795322,19000,190478,221,0,77.21266968,"332,452,452.00","29,151,519.00",0.09,"332,452,452.00","29,151,519.00",0.09,52176425,"32,667,044.00",11061864,0.63,"1,801,382.00","10,516,943.00","1,708.36","1,914.38",0,1,"52,176,425.00","32,667,044.00",0.63,"1,801,382.00",10516943,"17,915,900.00",Water only,CY09,N / R,1,1,7.86,11,767.78,1.53,4.795992821,581.0703108,1002,1378.465484,1015.313312
